id;name;hlr;hlc;time;k;climate;scale;area;micr;lpsv;dpsv;reduction;x;y
101;F-101;300;1:3;24;0.0002;mild;Field;1.215;80;0;31200;2.6;"0;15200;31200;37600;50400;60000";"1;0.37;0.21;0.24;0.16;0.11"
102;F-102;300;1:3;6;0.0002;cold;Field;1.215;43;0;19200;2.2;"0;8800;14400;19200;32000";"1;0.79;0.86;0.6;0.57"
103;F-103;300;1:3;24;7E-05;cold;Field;1.215;35;0;6400;5.5;"0;3200;6400;12800";"1;0.71;0.65;0.68"
104;F-104;300;1:1;168;7E-05;cold;Field;1.215;49;0;4977.777778;9.8;"0;4978;8296;9956";"1;0.54;0.51;0.54"
105;F-105;150;Continuous;Total time;7E-05;mild;Field;1.215;95;0;4906.17284;19.4;"0;818;1636;4089;4907;7360;9813;10631;11449;12267;13084;15538;16356;17173;21262;22080;28622";"1;0.47;0.31;0.13;0.11;0.14;0.05;0.05;0.05;0.05;0.05;0.05;0.06;0.06;0.06;0.11;0.05"
106;F-106;300;3:1;72;7E-05;warm;Field;1.215;90;0;15265.02058;5.9;"0;3271;6542;6542;9813;11994;14175;15265;16356;17446;19627;20717;21807;22898";"1.0;0.38;0.33;0.51;0.25;0.08;0.09;0.09;0.17;0.10;0.21;0.15;0.11;0.10"
107;F-107;300;1:1;168;7E-05;warm;Field;1.215;80;0;9955.555556;8.0;"0;1659;3319;8296;9956;13274;14933;19911;21570";"1.00;0.43;0.32;0.20;0.20;0.20;0.21;0.18;0.18"
108;F-108;300;1:3;24;7E-05;warm;Field;1.215;56;0;12800;4.4;"0;3200;6400;9600;12800;16000;19200;22400;25600;28800;32000;35200;38400";"1.0;0.59;0.58;0.51;.49;0.45;0.44;0.35;0.33;0.31;0.33;0.28;0.25"
109;F-109;300;1:3;24;7E-05;mild;Field;1.215;52;0;9600;5.4;"0;3200;6400;9600;12800;16000;19200;22400;25600";"1.00;0.82;0.70;0.51;0.56;0.59;0.51;0.48;0.12"
110;F-110;300;Continuous;Total time;7E-05;cold;Field;1.215;80;0;15537.44856;5.1;"0;818;1636;2453;3271;4089;4907;5724;6542;7360;8178;8996;9813;12267;13084;13902;14720;15538;16356;17173;17991;18809;19627;23716;25351";"1;1.02;0.88;0.81;0.63;0.53;0.83;0.50;0.71;0.55;0.48;0.41;0.44;0.40;0.36;0.33;0.44;0.24;0.32;0.41;0.35;0.34;0.24;0.20;0.19"
111;F-111;300;3:1;72;7E-05;cold;Field;1.215;38;4361;13084.60905;2.9;"0;3271;6542;9813;13084;16353;19627;22898";"1.00;0.98;0.78;0.80;0.62;0.72.0.78;0.62"
