ID,Document reference,Publication year,Study case location,Spreading methods,Induced bank filtration,In-channel modifications,"Well, shaft, borehole recharge",Rainwater-runoff harvesting,Unspecified MAR type,Number of criteria used,Criteria category (main),Criteria category (specific),Criteria original,Criteria modified,Criteria weight,Criteria importance rank,Weight Assignment method,Decision rules,Constraint mapping,Constraint mapping parameters,Sensitivity Analysis,Water Source,Main objective of MAR,
1,"Chowdhury, 2010",2010,India,Yes,No,Yes,Yes,No,No,7,Aquifer,Storage/flow capacity,Geology,Geology / Lithology,23.0,2,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
1,"Chowdhury, 2010",2010,India,Yes,No,Yes,Yes,No,No,7,Surface,Hydrography,Drainage density,Drainage density/Drainage intensity,17.7,3,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
1,"Chowdhury, 2010",2010,India,Yes,No,Yes,Yes,No,No,7,Surface,Geomorphological,Slope,Slope,18.2,3,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
1,"Chowdhury, 2010",2010,India,Yes,No,Yes,Yes,No,No,7,Aquifer,Flow capacity,Aquifer transmissivity,Aquifer transmissivity,12.6,4,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
1,"Chowdhury, 2010",2010,India,Yes,No,Yes,Yes,No,No,7,Surface,Geomorphological,Geomorphology,Geomorphology,28.5,1,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
1,"Chowdhury, 2010",2010,India,Yes,No,Yes,Yes,No,No,7,Surface,Hydrography,100-m buffer from 2nd and 3rd drainage,100-m buffer from 2nd and 3rd drainage,NA,NA,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
1,"Chowdhury, 2010",2010,India,Yes,No,Yes,Yes,No,No,7,Surface,Geological,100-m buffer from lineaments,Distance to Lineaments / Faults,NA,NA,Pairwise comparison method,AHP,Yes,out of the (100-m) buffer from 2nd and 3rd stream order; out of the (100-m) buffer from lineaments,No,Stormwater/surface runoff,Agriculture; Domestic,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Surface,Geological,Lineament density,Lineament density,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Aquifer,Storage capacity,Depth to bedrock,Aquifer thickness,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Surface,Soils,Soil cover (depth),Soil depth,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Surface,Hydrography,Drainage density,Drainage density/Drainage intensity,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Surface,Geomorphological,Slope,Slope,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Surface,Geomorphological,Land forms,Geomorphology,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Surface,Land use/ Land cover,Land use/ Land cover,Land use/Land cover,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
2,"Shankar, 2005",2005,India,No,No,Yes,No,No,No,8,Aquifer,Storage capacity,Water table fluctuation,Water table fluctuation,NA,NA,Boolean logic,Boolean logic,NA,"Water table fluctuation (> 4 m); Lineament density (< 1.5 Km/km2); Depth to bedrock (< 8m); soil cover (< 0.75 m); drainage density (< 2 km/km2); land forms (other than plains); land use/land cover (other than barren land, cultivated land); slope (> 5 degrees)",Yes,Stormwater/surface runoff,Nonspecific,No
3,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,7,Surface,Geomorphological,Land forms,Geomorphology,25.0,1,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
3,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,7,Surface,Geological,200 m buffer around lineaments,Distance to Lineaments / Faults,3.6,3,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
3,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,7,Management,Impact assessment,Over surface water bodies,Distance from water bodies,NA,NA,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
3,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,7,Surface,Hydrography,Drainage density,Drainage density/Drainage intensity,17.9,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
3,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,7,Surface,Geomorphological,Slope,Slope,17.9,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
